address;amount
tz1Q5wznENv9R8deNKiVUoQhorWcyLKuSGts;1
tz1fxJDij92mu5fVvqFbyQrCg61WCnWTKFK8;1
tz1eYKZ866Htv63L4JyxAGCRt24FMKVhmgiR;1
tz1dYEE43hrWS3qCRks7JNvVnT5WD7E3qrzF;1
tz1f3dYpTuVgAKBFVDccoG9E7QdvfLqqdEhK;1
tz1Z5KuUhoZukj6Rc6zRxscoaGcdYtobSFPX;1
tz1SR9yTpF8HMbNcMw4x7vEfkrVZqLTXBz6d;1
tz1M7JZiX7qVegy4NTTpuoRtubjeb6FxmfuA;1
tz1ZXuk1cf6eqWYgzuXign86eM2tvLhLEDbk;1
tz1NbNSybUmgpTJRppQTGT8D1c8WcdBnfF6u;1
tz1XEVbUyNd5RWZxJHSwVvcvnKbJVRay7zdB;1
tz1aYckSgRmBzzQfDYdHLXkxdog3o1PbXqg3;1
tz1Nfpe3PRsRUaVhoB7mK7AmB9u78hUgz7pH;1
tz1NV7kgv6DErou1PboEV3gcHQt7rSuZYCvS;1
tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462;1
tz1QnBdcdVBxrJXuAFXwnaZyHTijU7gjQF3E;1
tz1g8NW3j9Dy7kyPBA2ZdKUictAcJHCETvV8;1
tz1fT8u4PVrhbGMMT9HTrxyGFfYn2F1gGrqB;1
tz1iC5Yys5nc3AXZaH4Cx2htQAjGzpqxv8BB;1
tz1eL7cZZAYqLxV8Bj5SuxuwA4swvJPTxLMd;1
tz1isguKP6JYgmpRJMvjwJaFRYmjfkLmY6ug;1
tz1iP3M4veaSHkMkxYyiEAqe15H6XdDeGT7z;1
tz1PMRwZB85keyVgyGrt7D4m23iEKuE56SrW;1
tz2RXFCjVUxnAGSy3Lu3VAYyT16QhCLVP2ru;1
tz1RNq9tecQ4i4h1iyD7HmeZjiw7hfq4JMkb;1
tz1YkaUGToburtxxo4VwRyXgkRRjDfyvhCZv;1
tz1KjRgFP26Um8QxnRxJYYnYqvLfdDAnToWq;1
tz1KyRUKbkuBTK5uaidmF8FbWHYrMjdw6GuP;1
tz1aQi7FUmAvWsFEqHBafmyfgoBF3JD53NnB;1
tz1PybEE45yDAtJfJWuoFx7xYbtULWC9AfsS;1
tz1dL5179y8qDV1gYZdFe25UhYq3hyrpiCGP;1
tz1frwYcVzuR5PCq9HmmJRFyiVDtTu1x699E;1
tz1iDzfvAn5RZ3sKAH4AwSpcEgKTdG1n4JMi;1
tz1fPKDvp4Npx1U3VuqqNEPFtjeQ5dhfg5zx;1
tz1SBXgDmBCyQzAJ5AESDCSKECkoyxGQfz1K;1
tz1U5DQRG2Vv4R1dn33DK3KuFNN2AShBy5xj;1
tz1e6NESjjgRtw9LmMfj8wTiKDAviXkPM8mp;1
tz1djB2usEeiftmkKjeVVszHLtpwdsDT6hpY;1
tz1dXSQGJUktHFTidXT9AkDxEhfS9KvUwVpw;1
tz1az8jr6WJpTq9EsSwMgCc3yfcrXAoPcwsJ;1
tz1T7VaJXdvbYkdrgcrNE93caQhfStpc4SLR;1
tz1UMUr8Vd9Zb7vrcwjMLbZ1gUukKZwTM7Fc;1
tz1SX3gdbisRxAg7dzWkHkerN8vK3aeuu1DN;1
tz1hSKsuQNCcCAuE1Tt9HPhB811MEA7Y4Rxn;1
tz1dYogjeZYHLodTjMNFk58v4roaDzLhhEZU;1
tz1MzyQa3RWpKbVr4V9aqMtg4wBCFiJRCQXb;1
tz1Yma2dXMApGSuJrq2UsxXbQG2gCGmKRW2E;1
tz1ULAUg24mjhBGLJxGKoFvfweXNW4521FVp;1
